药名,性味,归经
鹿衘草,苦，甘，平,肝，肾，肺
雪莲花,微苦，甘，温,肝，肾
广藿香,辛，微温,脾，胃，肺
佩兰,辛，平,脾，胃，肺
苍术,辛，苦，温,脾，胃
厚朴,苦，辛，温,脾，胃，肺，大肠
砂仁,辛，温,脾，胃
白豆蔻,辛，温,肺，脾，胃
草豆蔻,辛，温,脾，胃
草果,辛，温,脾，胃
茯苓,甘，淡，平,心，脾，肾
猪苓,甘，淡，平,肾，膀胱
泽泻,甘，淡，寒,肾，膀胱
薏苡仁,甘，淡，微寒,脾，胃，肺
赤小豆,甘，平,心，小肠 
冬瓜皮,甘，微寒,肺，小肠
玉米须,甘，平,膀胱，肝，胆
葫芦,甘，平,肺，小肠
香加皮,辛，苦，温，有毒,肝，肾，心
泽漆,辛，苦，微寒，有毒,大肠，小肠，肺
蝼蛄,咸，寒,膀胱，胃
车前子,甘，寒,肾，肝，肺
滑石,甘，淡，寒,膀胱，胃
关木通,苦，寒,心，小肠，膀胱
通草,甘，淡，微寒,肺，胃，膀胱
瞿麦,苦，寒,心，小肠，膀胱
萹蓄,苦，微寒,膀胱
地肤子,苦，寒,膀胱
海金沙,甘，寒,膀胱，小肠
石韦,苦，甘，微寒,肺，膀胱
冬葵子,甘，寒,大肠，小肠，膀胱
灯心草,甘，淡，微寒,心，肺，小肠
萆薢,苦，平,肾，胃，膀胱
茵陈,苦，寒,脾，胃，肝，胆
金钱草,甘，淡，微寒,肝，胆，肾，膀胱
虎杖,苦，微寒,肝，胆，肺
地耳草,苦，平,肝，胆
垂盆草,甘，淡，微酸，凉,肝，胆，小肠
积雪草,苦，辛，寒,肝，脾，肾
溪黄草,苦，寒,肝，胆，大肠
附子,辛，甘，大热，有毒,心，肾，脾
肉桂,辛，甘，热,肾，脾，心，肝
干姜,辛，热,脾，胃，心，肺
吴茱萸,辛，苦，热，有小毒,肝，脾，胃，肾
丁香,辛，温,脾，胃，肾
小茴香,辛，温,肝，肾，脾，胃
花椒,辛，热,脾，胃
高良姜,辛，热,脾，胃
胡椒,辛，热,胃，大肠
荜茇,辛，热,胃，大肠
荜澄茄,辛，温,脾，胃，肾，膀胱
山奈,辛，温,胃
陈皮,辛，苦，温,脾，肺
青皮,苦，辛，温,肝，胆，胃
枳实,苦，辛，微寒,脾，胃，大肠
木香,辛，苦，温,脾，胃，大肠，胆
香附,辛，微苦，微甘，平,肝，三焦
乌药,辛，温,肺，脾，肾，膀胱
沉香,辛，苦，温,脾，胃，肾
檀香,辛，温,脾 ，胃，肺
川楝子,苦，寒，有小毒,肝，胃，小肠，膀胱
荔枝核,辛，微苦，温,肝，胃
佛手,辛，苦，温,肝，脾，胃，肺
香橼,辛，微苦，酸，温,肝，脾，胃，肺
玫瑰花,甘，微苦，温,肝，胃
薤白,辛，苦，温,肺，心，胃，大肠
青木香,辛，苦，微寒,肝，胃
大腹皮,辛，微温,脾，胃，大肠，小肠
柿蒂,苦，平,胃
刀豆,甘，温,胃，肾
甘松,辛，甘，温,脾，胃
九香虫,咸，温,肝，脾，肾
山楂,酸，甘，微温,脾，胃，肝
神曲,甘，辛，温,脾，胃
麦芽,甘，平,脾，胃，肝
谷芽,甘，平,脾，胃
菜菔子,辛，甘，平,脾，胃，肺
鸡内金,甘，平,脾，胃，小肠，膀胱
鸡矢藤,甘，苦，微寒,脾，胃，肝，肺
使君子,甘，温,脾，胃
苦楝皮,苦，寒，有毒,肝，脾，胃
槟榔,苦，辛，温,大肠，胃
南瓜子,甘，平,胃，大肠
鹤草芽,苦，涩，凉,肝，小肠，大肠
雷丸,苦，寒，有小毒,胃，大肠
芜荑,辛，苦，温,脾，胃
鹤虱,苦，辛，平，有小毒,脾，胃
榧子,甘，平,肺，胃，大肠 
大蓟,苦，甘，凉,心，肝
小蓟,苦，甘，凉,心，肝
地榆,苦，酸，微寒,肝，胃，大肠
槐花,苦，微寒,肝，大肝
侧柏叶,苦，涩，微寒,肺，肝，大肠
白茅根,甘，寒,肺，胃，膀胱
苎麻根,甘，寒,心，肝
荠菜,甘，淡，凉,肝，胃
景天三七,甘，微酸，平,肝，心
三七,甘，微苦，温,肝，胃
茜草,苦，寒,肝
蒲黄,甘，微辛，平,肝，心
五灵脂,苦，甘，温,肝，脾
降香,辛，温,肝，脾
花蕊石,酸，涩，平,肝
白及,苦，甘，涩，微寒,肺，胃，肝
仙鹤草,苦，涩，平,肺，肝，脾
紫珠,苦，涩，凉,肝，肺，胃
棕榈,苦，涩，平,肺，肝，大肠
血余炭,苦，涩，平,肝，胃，膀胱
藕节,甘，涩，平,肝，肺，胃
鸡冠花,甘，涩，凉,肝，大肠
花生衣,甘，微苦，涩，平,肝，脾
檵木,甘，苦，涩，凉,肝，胃，大肠
艾叶,辛，苦，温,肝，脾，肾
炮姜,苦，涩，温,脾，肝
灶心土,辛，温,脾，胃，肝
川芎,辛，温,肝，胆，心包
延胡索,辛，苦，温,心，肝，脾
郁金,辛，苦，寒,肝，心，胆
姜黄,辛，苦，温,肝，脾
乳香,辛，苦，温,心，肝，脾
没药,苦，辛，平,心，肝，脾
丹参,苦，微寒,心，肝
红花,辛，温,心，肝
桃仁,苦，甘，平，有小毒,心，肝，大肠
益母草,苦，辛，微寒,肝，心，膀胱
泽兰,苦，辛，微温,肝，脾
牛膝,苦，酸，甘，平,肝，肾
鸡血藤,苦，甘，温,肝
王不留行,苦，平,肝，胃
月季花,甘，温,肝
凌霄花,辛，微寒,肝
凤仙花,甘，微苦，温,肝
土鳖虫,咸，寒，有小毒,肝
自然铜,辛，平,肝
苏木,甘，咸，辛，平,心，肝，脾
骨碎补,苦，温,肝，肾
血竭,甘，咸，平,心，肝
儿茶,苦，涩，凉,心，肺
刘寄奴,辛，苦，温,心，肝，脾
莪术,辛，苦，温,肝，脾
三棱,苦，辛，平,肝，脾
水蛭,咸，苦，平，有小毒,肝
虻虫,苦，微寒，有毒,肝
斑蝥,辛，寒，有大毒,肝，肾，胃
穿山甲,咸，微寒,肝，胃
半夏,辛，温，有毒,脾，胃，肺
天南星,苦，辛，温，有毒,肺，肝，脾
白附子,辛，甘，温，有毒,胃，肝
白芥子,辛，温,肺
皂荚,辛，咸，温，有小毒,肺，大肠
旋覆花,苦，辛，咸，微温,肺，脾，胃，大肠
白前,辛，苦，微温,肺
前胡,苦，辛，微寒,肺
桔梗,苦，辛，平,肺
川贝母,苦，甘，微寒,肺，心
浙贝母,苦，寒,肺，心
瓜蒌,甘，微苦，寒,肺，胃，大肠
竹茹,甘，微寒,肺，胃
竹沥,甘，寒,心，肺，肝
天竺黄,甘，寒,心，肝
海藻,咸，寒,肝，胃，肾
昆布,咸，寒,肝，胃，肾
黄药子,苦，寒，有小毒,肺，肝
海蛤壳,苦，咸，寒,肺，胃
海浮石,咸，寒,肺
瓦楞子,咸，平,肺，胃，肝
礞石,甘，咸，平,肺，肝
蔊菜,辛，凉,肺，肝
苦杏仁,苦，微温，有小毒,肺，大肠
紫苏子,辛，温,肺，大肠
百部,甘，苦，微温,肺
紫菀,苦，甘，微温,肺
款冬花,辛，温,肺
马兜铃,苦，微辛，寒,肺，大肠
枇杷叶,苦，微寒,肺，胃
桑白皮,甘，寒,肺
葶苈子,苦，辛，大寒,肺，膀胱
白果,甘，苦，涩，平，有毒,肺
矮地茶,苦，辛平,肺，肝
洋金花,辛，温，有毒,肺，肝
罗汉果,甘，凉,肺，大肠
朱砂,甘，寒，有毒,心
磁石,咸，寒,心，肝，肾
龙骨,甘，涩，平,心，甘，肾
琥珀,甘，平,心，肝，膀胱
珍珠,甘，咸，寒,心，肝
酸枣仁,甘，酸，平,心，肝，胆
柏子仁,甘，平,心，肾，大肠
远志,苦，辛，微温,心，肾，肺
合欢皮,甘，平,心，肝
首乌藤,甘，平,心，肝
灵芝,甘，平,心，肾，肺
石决明,咸，寒,肝
珍珠母,咸，寒,肝，心
牡蛎,咸，涩，微寒,肝，肾
赭石,苦，寒,肝，心
蒺藜,苦，辛，平,肝
罗布麻,甘，苦，凉,肝
紫贝齿,咸，平,肝
羚羊角,咸，寒,肝，心
牛黄,苦，凉,肝，心
钩藤,甘，微寒,肝，心包
天麻,甘，平,肝
地龙,咸，寒,肝，脾，膀胱
全蝎,辛，平，有毒,肝
蜈蚣,辛，温，有毒,肝
僵蚕,咸，辛，平,肝，肺
麝香,辛，温,心，脾
冰片,辛，苦，微寒,心，脾，肺
苏合香,辛，温,心，脾
石菖蒲,辛，苦，温,心，胃
蟾酥,辛，温，有毒,心
安息香,辛，苦，平,心，脾
人参,甘，微苦，微温,心，肺，脾
西洋参,苦，微甘，寒,心，肺，胃
党参,甘，平,脾，肺
太子参,甘，微苦，平,脾，肺
黄芪,甘，微温,脾，肺
